x1_norm	x2_norm	x3_norm	x4_norm	x5_norm	x6_norm	fault_label
0.048384	0.119640	0.156055	0.109791	0.045094	0.860429	7.000000
0.055615	0.003859	0.037276	0.840420	0.041209	0.129846	6.000000
0.150586	0.873190	0.121391	0.112738	0.070623	0.034537	6.000000
0.000000	0.079509	0.878281	0.036574	0.043672	0.023231	6.000000
0.095639	0.147608	0.046586	0.887397	0.061824	0.207107	6.000000
0.064836	0.005343	0.049452	0.207354	0.098264	0.881254	6.000000
0.025831	0.031095	0.105377	0.142206	0.062361	0.800700	4.000000
0.000000	0.989812	0.076578	0.119856	0.044421	0.014779	6.000000
0.137426	0.021048	0.132096	0.132888	0.860161	0.066528	5.000000
0.727753	0.123018	0.195446	0.127106	0.111547	0.004911	6.000000
0.810448	0.064410	0.119847	0.090003	0.149041	0.048827	2.000000
0.031249	0.121848	0.082469	0.115230	0.000000	0.766284	7.000000
0.031514	0.794762	0.024005	0.072079	0.012953	0.046296	3.000000
0.125838	0.116485	0.133464	0.857719	0.080647	0.165343	4.000000
0.000000	0.083098	0.073414	0.815301	0.083220	0.107792	4.000000
0.153105	0.031948	0.052487	0.812381	0.133229	0.173549	4.000000
1.000000	0.123105	0.243091	0.109157	0.036135	0.050963	1.000000
0.790479	0.155630	0.268630	0.128286	0.069374	0.050015	2.000000
0.077031	0.089168	0.159898	0.181298	0.030392	0.830604	7.000000
0.044013	0.116727	0.949575	0.000949	0.115573	0.079003	6.000000
0.090674	0.098225	0.063606	0.127885	0.117711	0.870766	8.000000
0.079131	0.036720	0.019309	0.168284	0.077013	0.851549	7.000000
0.114888	0.114442	0.000000	1.000000	0.037441	0.168589	4.000000
0.848292	0.072848	0.231847	0.116819	0.024641	0.000000	1.000000
0.176741	0.143382	0.872617	0.074924	0.091642	0.113826	1.000000
0.089007	1.000000	0.000000	0.078499	0.029022	0.147939	3.000000
0.000000	0.054043	0.108896	0.048367	0.070064	0.930619	7.000000
0.051765	0.106208	0.121923	0.685713	0.119776	0.021332	6.000000
0.829758	0.050684	0.255467	0.066992	0.060555	0.000000	3.000000
0.000000	0.069782	0.136315	1.000000	0.000000	0.246237	6.000000
1.000000	0.011321	0.263800	0.104370	0.147426	0.072300	1.000000
0.056113	0.071445	0.738931	0.049917	0.037484	0.086230	6.000000
0.886217	0.003699	0.223179	0.121639	0.072845	0.178121	2.000000
0.008952	0.847087	0.055221	0.127971	0.031325	0.014208	3.000000
0.017913	0.042146	0.940412	0.067267	0.018745	0.098382	1.000000
0.056589	0.110639	0.052316	0.107847	0.156056	0.931548	5.000000
0.079610	0.049824	0.042877	0.026030	0.752374	0.049104	5.000000
0.930362	0.162953	0.129693	0.028053	0.050409	0.059220	2.000000
0.921619	0.065917	0.113192	0.011507	0.070299	0.072321	6.000000
0.055870	0.134272	0.127604	0.061237	1.000000	0.054646	5.000000
0.981254	0.074131	0.170940	0.149042	0.021767	0.054665	2.000000
0.029927	0.918073	0.149261	0.152530	0.108519	0.112486	6.000000
0.092225	0.050398	0.997589	0.044771	0.118106	0.054563	1.000000
0.061816	0.157503	1.000000	0.103026	0.085688	0.129152	6.000000
0.029833	0.091683	0.027690	0.160456	0.091884	0.693806	6.000000
